Event Name in iView,Type of Crime,# Event Tracks ,# GC Passed/Observed,Lat/Long,Lat,Long,Notes
300 E 21st St.,Armed Robbery,,,"39.313718290487486, -76.6124116022511",39.31371829,-76.6124116,
3101 Swann Dr.,Shooting w/ Injury,1,18,"39.318506083662015, -76.64294965992156",39.31850608,-76.64294966,
420 E 27th St,Homicide & Attempted Murder,1,0,"39.3212953768708, -76.61009292895704",39.32129538,-76.61009293,
1100 Granby Street,Homicide & Attempted Murder,4,0,"39.289349034637986, -76.60066503108715",39.28934903,-76.60066503,
1120 Gorsuch Ave (Sup),Homicide & Attempted Murder,0,0,"39.325841462015354, -76.60176781759192",39.32584146,-76.60176782,"was ""request over multiple days"""
2400 St. Paul St,Armed Robbery,0,0,"39.31664358651828, -76.61561321759227",39.31664359,-76.61561322,
200 E. Read St.,Carjacking,0,0,"39.30008311795211, -76.61258317341621",39.30008312,-76.61258317,
200 N. Caroline St.,Carjacking,10,0,"39.294225744605754, -76.59731434458106",39.29422574,-76.59731434,
Rear 701 N. Rose St,Homicide & Attempted Murder,0,2,"39.29924180024595, -76.58129262478748",39.2992418,-76.58129262,
2822 Clifton Park Terr.,Homicide & Attempted Murder,0,1,"39.322591875746504, -76.57647604458023",39.32259188,-76.57647604,
4000 Dudley Ave,Armed Robbery,0,0,"39.316854687809375, -76.56023828690975",39.31685469,-76.56023829,"was ""supplemental over multiple days"""
904 Wildwood Parkway,Armed Robbery,0,0,"39.29813482429166, -76.68413590040433",39.29813482,-76.6841359,
1400 Whitelock St.,Armed Robbery,0,4,"39.31168269904394, -76.63998245992175",39.3116827,-76.63998246,
2902 Ulman Ave,Armed Robbery,2,4,"39.32865406273542, -76.66156308690931",39.32865406,-76.66156309,
1366 N. Stricker St.,Armed Robbery,2,7,"39.3051516192064, -76.64217773108666",39.30515162,-76.64217773,
800 E. Baltimore,Armed Robbery,1,0,"39.290369036385755, -76.60482450225174",39.29036904,-76.6048245,
4400 White Oak Ave,Shooting w/ Injury,0,0,"39.337043849756256, -76.68144810225039",39.33704385,-76.6814481,
100 E. Montgomery St.,Carjacking,0,1,"39.28021123659741, -76.61239993108738",39.28021124,-76.61239993,
4600 Coleherne Rd.,Homicide & Attempted Murder,0,0,"39.29531724188727, -76.69420855992219",39.29531724,-76.69420856,
2221 Ramsey St.,Homicide & Attempted Murder,3,0,"39.28288237285283, -76.65195500225195",39.28288237,-76.651955,
4940 Eastern Ave,Armed Robbery,0,0,"39.29036146493853, -76.54713938875777",39.29036146,-76.54713939,
1521 Harford Ave,Armed Robbery,1,0,"39.30771500949634, -76.60038200225118",39.30771501,-76.600382,
3038 Baker St.,Armed Robbery,1,2,"39.306172204707956, -76.66902871759252",39.3061722,-76.66902872,
400 Russell st.,Armed Robbery,0,0,"39.28466389641347, -76.62363134088694",39.2846639,-76.62363134,
1000 W. Lombard St,Armed Robbery,0,0,"39.28706125057296, -76.63382423108716",39.28706125,-76.63382423,
2100 Garrison Blvd.,Shooting w/ Injury,1,0,"39.31147850482549, -76.67494534273334",39.3114785,-76.67494534,
1200 Mt. Royal,Shooting w/ Injury,1,1,"39.30696191928782, -76.62039720225128",39.30696192,-76.6203972,
200 North Schroeder,Shooting w/ Injury,2,0,"39.291245658956214, -76.63400545992232",39.29124566,-76.63400546,
238 McMechen,Armed Robbery,8,11,"39.307804303297786, -76.62839937341597",39.3078043,-76.62839937,
24 S. Duncan St.,Armed Robbery,2,0,"39.291166641810065, -76.58691453108709",39.29116664,-76.58691453,
1600 Pennsylvania Ave,Armed Robbery,0,2,"39.30314332239436, -76.63417221574545",39.30314332,-76.63417222,
3624 Edmondson Ave,Homicide & Attempted Murder,7,1,"39.294422844114735, -76.67825811574569",39.29442284,-76.67825812,
1200 E Fayette (+ Sup),Homicide & Attempted Murder,51,8,"39.292697845120045, -76.60096880225166",39.29269785,-76.6009688,
3100 Spaulding Ave,Homicide & Attempted Murder,2,2,"39.348924815061274, -76.67392044457937",39.34892482,-76.67392044,
1100 Cleveland Ave.,Armed Robbery,1,0,"39.26203060398437, -76.52755024642914",39.2620306,-76.52755025,
200 W. Lombard St,Armed Robbery,4,16,"39.28792714487133, -76.61878960225184",39.28792714,-76.6187896,
200 Gwynns Falls Pkwy,Armed Robbery,0,0,"39.314843593245726, -76.66519665992165",39.31484359,-76.66519666,
4400 Reisterstown Road,Armed Robbery,0,0,"39.33924763912419, -76.66843025807371",39.33924764,-76.66843026,
3100 Shannon Drive,Armed Robbery,2,0,"39.324954271280085, -76.5670240715682",39.32495427,-76.56702407,
2701 W. Franklin St.,Armed Robbery,4,1,"39.29298514769528, -76.66154560040451",39.29298515,-76.6615456,
4820 Eastern Ave,Armed Robbery,2,2,"39.28737804206058, -76.55523301759308",39.28737804,-76.55523302,
1100 E 25th St.,Armed Robbery,0,0,"39.31780228556064, -76.59857754458031",39.31780229,-76.59857754,
800 N. Milton Ave,Shooting w/ Injury,4,13,"39.30036842454505, -76.58261975992208",39.30036842,-76.58261976,
3300 Reisterstown Rd,Shooting w/ Injury,4,0,"39.32458618862627, -76.65711060201242",39.32458619,-76.6571106,
